MBSTEADY,depth,latency,transactions,ns_per_txn,total_ms
MBSTEADY,4,3,1000000,53.974,53.974
MBSTEADY,10,3,1000000,79.561,79.561
MBSTEADY,16,3,1000000,94.599,94.599
MBSTEADY,32,3,1000000,128.523,128.523
