MBSTEADY,depth,latency,transactions,ns_per_txn,total_ms
MBSTEADY,4,3,1000000,53.722,53.722
MBSTEADY,10,3,1000000,72.892,72.892
MBSTEADY,16,3,1000000,83.825,83.825
MBSTEADY,32,3,1000000,114.445,114.445
