backend,traffic_pattern,traffic_mode,read_percent,rate,offered_GBps,achieved_GBps,stream_GBps,probe_GBps,avg_latency_ns,read_avg_latency_ns,write_avg_latency_ns,probe_avg_latency_ns,completed_requests,stream_completed_requests,probe_completed_requests,retry_ticks,stream_retry_ticks,probe_retry_ticks,ramulator_total_GBps,ramulator_avg_read_latency_ns,ramulator_row_hit_rate,sim_seconds,host_seconds,wall_seconds,success,exit_cause,run_dir
ramulator,linear-read,standard,100.0,24GiB/s,25.769803776,24.642133333333334,24.642133333333334,0.0,59.06695662713185,59.06695662713185,,,11551.0,11551.0,0.0,1668450.0,1668450.0,0.0,24.659,55.34026834708885,0.9830435158750757,3e-05,0.02,0.21748643300088588,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-ramulator-24GiBps
ramulator,linear-read,standard,100.0,32GiB/s,34.359738368,31.776,31.776,0.0,126.78563484390735,126.78563484390735,,,14895.0,14895.0,0.0,2407005.0,2407005.0,0.0,31.795,123.006832,0.9825550187869029,3e-05,0.04,0.23736812100105453,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-ramulator-32GiBps
ramulator,linear-read,standard,100.0,40GiB/s,42.94967296,33.80453970504427,33.80453970504427,0.0,142.91456540411676,142.91456540411676,,,15846.0,15846.0,0.0,27523031.0,27523031.0,0.0,33.832300000000004,137.90982022271265,0.9824705214704584,3e-05,0.05,0.2521516500000871,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-ramulator-40GiBps
ramulator,linear-read,standard,100.0,48GiB/s,51.539607552,33.821136130126256,33.821136130126256,0.0,143.20873285511448,143.20873285511448,,,15854.0,15854.0,0.0,28806354.0,28806354.0,0.0,33.8468,138.043776,0.9824782553888819,3e-05,0.05,0.24207256800036703,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-read-ramulator-48GiBps
ramulator,linear-write,standard,0.0,1GiB/s,1.073741824,1.073066666666667,1.073066666666667,0.0,19.823874751491054,,19.823874751491054,,503.0,503.0,0.0,0.0,0.0,0.0,1.073057,,0.9562624254473161,3e-05,0.01,0.1939611199995852,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-1GiBps
ramulator,linear-write,standard,0.0,4GiB/s,4.294967296,4.292266666666667,4.292266666666667,0.0,47.765264910536786,,47.765264910536786,,2012.0,2012.0,0.0,0.0,0.0,0.0,4.29436,,0.9771485345255837,3e-05,0.01,0.1979430859992135,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-4GiBps
ramulator,linear-write,standard,0.0,8GiB/s,8.589934592,8.3584,8.3584,0.0,258.6375232261358,,258.6375232261358,,3918.0,3918.0,0.0,797724.0,797724.0,0.0,8.358319999999999,,0.9770290964777948,3e-05,0.03,0.2150993710001785,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-8GiBps
ramulator,linear-write,standard,0.0,16GiB/s,17.179869184,11.342772023886234,11.342772023886234,0.0,363.83781494061293,,363.83781494061293,,5318.0,5318.0,0.0,19749535.0,19749535.0,0.0,11.3449,,0.9789434104154916,3e-05,0.05,0.24585446899982344,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-16GiBps
ramulator,linear-write,standard,0.0,24GiB/s,25.769803776,11.349088193028365,11.349088193028365,0.0,366.4350101917497,,366.4350101917497,,5320.0,5320.0,0.0,26667429.0,26667429.0,0.0,11.35334,,0.9789552799699361,3e-05,0.05,0.24176001900013944,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-24GiBps
ramulator,linear-write,standard,0.0,32GiB/s,34.359738368,11.347037827580815,11.347037827580815,0.0,366.65357466605565,,366.65357466605565,,5320.0,5320.0,0.0,28786530.0,28786530.0,0.0,11.34917,,0.9789513249389212,3e-05,0.05,0.24533169599999383,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-32GiBps
ramulator,linear-write,standard,0.0,40GiB/s,42.94967296,11.347195521697046,11.347195521697046,0.0,366.984194200369,,366.984194200369,,5320.0,5320.0,0.0,29461944.0,29461944.0,0.0,11.34933,,0.9789513249389212,3e-05,0.05,0.2448967870004708,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-40GiBps
ramulator,linear-write,standard,0.0,48GiB/s,51.539607552,11.35035720294712,11.35035720294712,0.0,367.7043927399999,,367.7043927399999,,5322.0,5322.0,0.0,29819583.0,29819583.0,0.0,11.352490000000001,,0.9789592335149352,3e-05,0.05,0.2382247000005009,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-write-ramulator-48GiBps
ramulator,linear-mixed,standard,50.0,1GiB/s,1.073741824,1.070933333333333,1.070933333333333,0.0,26.62145418326693,30.274584415584417,23.507531365313653,,502.0,502.0,0.0,0.0,0.0,0.0,1.073057,25.856566427586205,0.9562624254473161,3e-05,0.01,0.19881692199851386,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-1GiBps
ramulator,linear-mixed,standard,50.0,4GiB/s,4.294967296,4.2922666666666665,4.2922666666666665,0.0,35.82895079522863,37.834927029804724,33.950399422521656,,2012.0,2012.0,0.0,0.0,0.0,0.0,4.29437,34.23342787749229,0.9771485345255837,3e-05,0.01,0.1988459870008228,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-4GiBps
ramulator,linear-mixed,standard,50.0,8GiB/s,8.589934592,8.580266666666667,8.580266666666667,0.0,82.79815390353058,66.81269265367317,98.62542157347848,,4022.0,4022.0,0.0,0.0,0.0,0.0,8.58232,62.70673412987012,0.9806114839671887,3e-05,0.01,0.20387956900049176,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-8GiBps
ramulator,linear-mixed,standard,50.0,16GiB/s,17.179869184,14.517333333333331,14.517333333333331,0.0,267.9377735488612,294.15974200116347,241.1628618948619,,6805.0,6805.0,0.0,4718558.0,4718558.0,0.0,14.534279999999999,288.6860477771329,0.9803317187729341,3e-05,0.03,0.21752422699864837,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-16GiBps
ramulator,linear-mixed,standard,50.0,24GiB/s,25.769803776,15.61865772179764,15.61865772179764,0.0,301.361420571725,331.9836517302419,270.6390349368106,,7350.0,7350.0,0.0,11988570.0,11988570.0,0.0,15.62283,326.7752349201521,0.9800054406964092,3e-05,0.03,0.23284483899988118,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-24GiBps
ramulator,linear-mixed,standard,50.0,32GiB/s,34.359738368,15.734148415293623,15.734148415293623,0.0,337.2341889792433,387.2003693328057,287.2138300620013,,7382.0,7382.0,0.0,16541241.0,16541241.0,0.0,15.74461,379.4974837858301,0.97982943007987,3e-05,0.04,0.23916732299949217,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-32GiBps
ramulator,linear-mixed,standard,50.0,40GiB/s,42.94967296,15.365427368447579,15.365427368447579,0.0,360.214743179768,423.1459717064641,296.8099518966002,,7203.0,7203.0,0.0,19629121.0,19629121.0,0.0,15.37822,414.10116070477767,0.9797475377999723,3e-05,0.04,0.23736640800052555,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-40GiBps
ramulator,linear-mixed,standard,50.0,48GiB/s,51.539607552,14.713760906168682,14.713760906168682,0.0,367.6250958948416,442.29046053880967,292.2007165071794,,6921.0,6921.0,0.0,21981147.0,21981147.0,0.0,14.7158,434.3893224489795,0.9793412308581335,3e-05,0.04,0.23073021200070798,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/linear-mixed-ramulator-48GiBps
ramulator,random-read,standard,100.0,1GiB/s,1.073741824,1.070933333333333,1.070933333333333,0.0,54.14843824701195,54.14843824701195,,,502.0,502.0,0.0,0.0,0.0,0.0,1.073057,49.724891864811134,0.0,3e-05,0.01,0.20129329500014137,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-1GiBps
ramulator,random-read,standard,100.0,4GiB/s,4.294967296,4.285866666666667,4.285866666666667,0.0,63.160582877053265,63.160582877053265,,,2009.0,2009.0,0.0,0.0,0.0,0.0,4.290100000000001,59.00470005370462,0.0,3e-05,0.01,0.20018996599901584,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-4GiBps
ramulator,random-read,standard,100.0,8GiB/s,8.589934592,8.573866666666666,8.573866666666666,0.0,70.57734909181389,70.57734909181389,,,4019.0,4019.0,0.0,0.0,0.0,0.0,8.578059999999999,66.43917532952001,0.00024838549428713363,3e-05,0.02,0.20332631900055276,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-8GiBps
ramulator,random-read,standard,100.0,16GiB/s,17.179869184,16.59733333333333,16.59733333333333,0.0,78.01012365038561,78.01012365038561,,,7780.0,7780.0,0.0,1047746.0,1047746.0,0.0,16.609989999999996,74.13277156742872,0.0001282873636946761,3e-05,0.03,0.21684243799973046,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-16GiBps
ramulator,random-read,standard,100.0,24GiB/s,25.769803776,23.197866666666666,23.197866666666666,0.0,150.3900524186132,150.3900524186132,,,10874.0,10874.0,0.0,4341792.0,4341792.0,0.0,23.2168,146.38723036515665,0.00018326766242096582,3e-05,0.05,0.23814118700101972,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-24GiBps
ramulator,random-read,standard,100.0,32GiB/s,34.359738368,23.272354136206484,23.272354136206484,0.0,173.79698223257407,173.79698223257407,,,10909.0,10909.0,0.0,16064868.0,16064868.0,0.0,23.2894,168.8758669260786,0.00018264840182648402,3e-05,0.06,0.25318295500073873,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-32GiBps
ramulator,random-read,standard,100.0,40GiB/s,42.94967296,23.276489301956627,23.276489301956627,0.0,176.1926474076527,176.1926474076527,,,10912.0,10912.0,0.0,20820962.0,20820962.0,0.0,23.2957,170.842172712389,0.00018261504747991235,3e-05,0.06,0.2635752890000731,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-40GiBps
ramulator,random-read,standard,100.0,48GiB/s,51.539607552,23.278622411313478,23.278622411313478,0.0,176.71591170364113,176.71591170364113,,,10913.0,10913.0,0.0,23062095.0,23062095.0,0.0,23.297800000000002,171.26979502948177,0.00018259837487446363,3e-05,0.06,0.26151524399938353,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-read-ramulator-48GiBps
ramulator,random-mixed,standard,50.0,1GiB/s,1.073741824,1.070933333333333,1.070933333333333,0.0,45.55425099601594,50.912835341365465,40.28038735177866,,502.0,502.0,0.0,0.0,0.0,0.0,1.073058,46.38902528,0.0,3e-05,0.01,0.20516338200104656,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-1GiBps
ramulator,random-mixed,standard,50.0,4GiB/s,4.294967296,4.285866666666667,4.285866666666667,0.0,59.96718068690891,65.61254354354355,54.38330198019802,,2009.0,2009.0,0.0,0.0,0.0,0.0,4.290100000000001,61.784129246753245,0.0004967709885742673,3e-05,0.01,0.2094890240005043,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-4GiBps
ramulator,random-mixed,standard,50.0,8GiB/s,8.589934592,8.573866666666667,8.573866666666667,0.0,82.15477979596915,72.73707472417252,91.4283125925926,,4019.0,4019.0,0.0,0.0,0.0,0.0,8.57806,68.94410100200402,0.0007453416149068323,3e-05,0.02,0.20992909200140275,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-8GiBps
ramulator,random-mixed,standard,50.0,16GiB/s,17.179869184,16.593066666666665,16.593066666666665,0.0,148.68570905117,111.44012688116243,185.26686952089705,,7778.0,7778.0,0.0,968905.0,968905.0,0.0,16.595050000000004,107.80931167626458,0.00038496086231233157,3e-05,0.03,0.22510353200050304,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-16GiBps
ramulator,random-mixed,standard,50.0,24GiB/s,25.769803776,22.001066666666667,22.001066666666667,0.0,222.48421274120045,239.80666595121951,205.37211314572087,,10313.0,10313.0,0.0,4507185.0,4507185.0,0.0,22.0051,235.72512343347637,0.0002897990726429675,3e-05,0.06,0.24620568199861737,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-24GiBps
ramulator,random-mixed,standard,50.0,32GiB/s,34.359738368,22.30186666666667,22.30186666666667,0.0,249.30662330208534,290.6576007692307,208.38064636467453,,10454.0,10454.0,0.0,10980753.0,10980753.0,0.0,22.3081,285.14216320861374,0.00047632656949604646,3e-05,0.06,0.25121926400061056,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-32GiBps
ramulator,random-mixed,standard,50.0,40GiB/s,42.94967296,22.3104,22.3104,0.0,253.87921897112258,304.2967189126663,204.2651851641055,,10458.0,10458.0,0.0,15278297.0,15278297.0,0.0,22.333599999999997,297.606128375529,0.00038091610322826396,3e-05,0.06,0.26693750800041016,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-40GiBps
ramulator,random-mixed,standard,50.0,48GiB/s,51.539607552,22.368,22.368,0.0,255.7573138769671,311.878450028885,200.68606292517006,,10485.0,10485.0,0.0,18327474.0,18327474.0,0.0,22.3699,305.0959206870788,0.00038015586390420075,3e-05,0.06,0.26109099200039054,True,board.processor.cores.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/random-mixed-ramulator-48GiBps
ramulator,probe-stream-read,probe-stream,100.0,1GiB/s,1.073741824,2.0885333333333334,1.070933333333333,1.0176,51.53303144654088,,,51.53303144654088,979.0,502.0,477.0,2389708.0,20391.0,2369317.0,2.088519,40.89377698386107,0.3292558613659531,3e-05,0.01,0.21333917400079372,True,board.processor.cores0.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/probe-stream-read-ramulator-1GiBps
ramulator,probe-stream-read,probe-stream,100.0,4GiB/s,4.294967296,5.297066666666668,4.285866666666667,1.0112,55.46552109704641,,,55.46552109704641,2483.0,2009.0,474.0,2756053.0,0.0,2756053.0,5.30555,47.18621610615198,0.5299557700040209,3e-05,0.01,0.2095705800002179,True,board.processor.cores1.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/probe-stream-read-ramulator-4GiBps
ramulator,probe-stream-read,probe-stream,100.0,8GiB/s,8.589934592,9.5424,8.5312,1.0112,58.0713312236287,,,58.0713312236287,4473.0,3999.0,474.0,3153501.0,208643.0,2944858.0,9.54659,57.22313331843576,0.5843198570471297,3e-05,0.01,0.2094117520009604,True,board.processor.cores1.generator has encountered the exit state and will terminate the simulation.,m5out/ddr5-4800-gem5-ramulator-sweep/runs/probe-stream-read-ramulator-8GiBps
